bacteria;temperatura_°C;medio;replica;tiempo_h;Crecimiento normalizado
E. coli K-12;25;limitado;1;0;0,05987
E. coli K-12;25;limitado;1;0,12121;0
E. coli K-12;25;limitado;1;0,24242;0,00765
E. coli K-12;25;limitado;1;0,36364;0
E. coli K-12;25;limitado;1;0,48485;0,00267
E. coli K-12;25;limitado;1;0,60606;0,00702
E. coli K-12;25;limitado;1;0,72727;0,00292
E. coli K-12;25;limitado;1;0,84848;0
E. coli K-12;25;limitado;1;0,9697;0,00659
E. coli K-12;25;limitado;1;1,09091;0,00522
E. coli K-12;25;limitado;1;1,21212;0,0061
E. coli K-12;25;limitado;1;1,33333;0
E. coli K-12;25;limitado;1;1,45455;0
E. coli K-12;25;limitado;1;1,57576;0
E. coli K-12;25;limitado;1;1,69697;0,03792
E. coli K-12;25;limitado;1;1,81818;0,01087
E. coli K-12;25;limitado;1;1,93939;0,04355
E. coli K-12;25;limitado;1;2,06061;0,03332
E. coli K-12;25;limitado;1;2,18182;0,07366
E. coli K-12;25;limitado;1;2,30303;0,09741
E. coli K-12;25;limitado;1;2,42424;0,14758
E. coli K-12;25;limitado;1;2,54545;0,20807
E. coli K-12;25;limitado;1;2,66667;0,22164
E. coli K-12;25;limitado;1;2,78788;0,27343
E. coli K-12;25;limitado;1;2,90909;0,31965
E. coli K-12;25;limitado;1;3,0303;0,36721
E. coli K-12;25;limitado;1;3,15152;0,37627
E. coli K-12;25;limitado;1;3,27273;0,41114
E. coli K-12;25;limitado;1;3,39394;0,45011
E. coli K-12;25;limitado;1;3,51515;0,46173
E. coli K-12;25;limitado;1;3,63636;0,50706
E. coli K-12;25;limitado;1;3,75758;0,54521
E. coli K-12;25;limitado;1;3,87879;0,54801
E. coli K-12;25;limitado;1;4;0,55242
E. coli K-12;25;limitado;1;4,12121;0,55648
E. coli K-12;25;limitado;1;4,24242;0,58329
E. coli K-12;25;limitado;1;4,36364;0,60181
E. coli K-12;25;limitado;1;4,48485;0,63166
E. coli K-12;25;limitado;1;4,60606;0,62068
E. coli K-12;25;limitado;1;4,72727;0,6146
E. coli K-12;25;limitado;1;4,84848;0,61141
E. coli K-12;25;limitado;1;4,9697;0,63077
E. coli K-12;25;limitado;1;5,09091;0,5934
E. coli K-12;25;limitado;1;5,21212;0,65778
E. coli K-12;25;limitado;1;5,33333;0,59846
E. coli K-12;25;limitado;1;5,45455;0,67377
E. coli K-12;25;limitado;1;5,57576;0,62773
E. coli K-12;25;limitado;1;5,69697;0,67892
E. coli K-12;25;limitado;1;5,81818;0,66406
E. coli K-12;25;limitado;1;5,93939;0,67208
E. coli K-12;25;limitado;1;6,06061;0,65447
E. coli K-12;25;limitado;1;6,18182;0,6842
E. coli K-12;25;limitado;1;6,30303;0,63387
E. coli K-12;25;limitado;1;6,42424;0,61895
E. coli K-12;25;limitado;1;6,54545;0,63302
E. coli K-12;25;limitado;1;6,66667;0,65744
E. coli K-12;25;limitado;1;6,78788;0,66471
E. coli K-12;25;limitado;1;6,90909;0,66655
E. coli K-12;25;limitado;1;7,0303;0,66156
E. coli K-12;25;limitado;1;7,15152;0,64802
E. coli K-12;25;limitado;1;7,27273;0,68366
E. coli K-12;25;limitado;1;7,39394;0,62887
E. coli K-12;25;limitado;1;7,51515;0,63668
E. coli K-12;25;limitado;1;7,63636;0,67384
E. coli K-12;25;limitado;1;7,75758;0,63846
E. coli K-12;25;limitado;1;7,87879;0,65145
E. coli K-12;25;limitado;1;8;0,65352
E. coli K-12;25;limitado;1;8,12121;0,66213
E. coli K-12;25;limitado;1;8,24242;0,65463
E. coli K-12;25;limitado;1;8,36364;0,64945
E. coli K-12;25;limitado;1;8,48485;0,65662
E. coli K-12;25;limitado;1;8,60606;0,69292
E. coli K-12;25;limitado;1;8,72727;0,64535
E. coli K-12;25;limitado;1;8,84848;0,6777
E. coli K-12;25;limitado;1;8,9697;0,66129
E. coli K-12;25;limitado;1;9,09091;0,6543
E. coli K-12;25;limitado;1;9,21212;0,68328
E. coli K-12;25;limitado;1;9,33333;0,6745
E. coli K-12;25;limitado;1;9,45455;0,67213
E. coli K-12;25;limitado;1;9,57576;0,66909
E. coli K-12;25;limitado;1;9,69697;0,64417
E. coli K-12;25;limitado;1;9,81818;0,67477
E. coli K-12;25;limitado;1;9,93939;0,69269
E. coli K-12;25;limitado;1;10,06061;0,6613
E. coli K-12;25;limitado;1;10,18182;0,64496
E. coli K-12;25;limitado;1;10,30303;0,66783
E. coli K-12;25;limitado;1;10,42424;0,71398
E. coli K-12;25;limitado;1;10,54545;0,66291
E. coli K-12;25;limitado;1;10,66667;0,6916
E. coli K-12;25;limitado;1;10,78788;0,61345
E. coli K-12;25;limitado;1;10,90909;0,66452
E. coli K-12;25;limitado;1;11,0303;0,66937
E. coli K-12;25;limitado;1;11,15152;0,66632
E. coli K-12;25;limitado;1;11,27273;0,65912
E. coli K-12;25;limitado;1;11,39394;0,65948
E. coli K-12;25;limitado;1;11,51515;0,66519
E. coli K-12;25;limitado;1;11,63636;0,64973
E. coli K-12;25;limitado;1;11,75758;0,65995
E. coli K-12;25;limitado;1;11,87879;0,68346
